panel_id,specimen_id,lot_id,test_date,operator_id,condition,ilss_mpa,failure_mode,fiber_volume_pct,void_content_pct,tg_c,specimen_thickness_mm,span_mm,cv_pct,result,fail_code
PNL-DVT-004,SP-004-D,LOT-PRG-055,2026-05-12,OP-1202,ETW,52.0,INTERLAMINAR_SHEAR,57.8,1.8,182,2.14,8.56,5.8,FAIL,ETW_ILSS_LOW
PNL-DVT-004,SP-004-E,LOT-PRG-055,2026-05-12,OP-1201,ETW,57.8,INTERLAMINAR_SHEAR,59.2,0.9,187,2.06,8.24,5.8,PASS,-
PNL-DVT-005,SP-005-A,LOT-PRG-056,2026-04-11,OP-1201,RTD,91.0,INTERLAMINAR_SHEAR,59.5,0.8,188,2.05,8.20,3.5,PASS,-
PNL-DVT-005,SP-005-B,LOT-PRG-056,2026-04-11,OP-1202,RTD,88.8,INTERLAMINAR_SHEAR,58.8,1.0,186,2.07,8.28,3.5,PASS,-
PNL-DVT-005,SP-005-C,LOT-PRG-056,2026-04-11,OP-1201,RTD,93.5,INTERLAMINAR_SHEAR,60.0,0.7,189,2.04,8.16,3.5,PASS,-
PNL-DVT-005,SP-005-D,LOT-PRG-056,2026-04-11,OP-1202,RTD,86.2,INTERLAMINAR_SHEAR,58.2,1.2,184,2.10,8.40,3.5,PASS,-
PNL-DVT-005,SP-005-E,LOT-PRG-056,2026-04-11,OP-1201,RTD,90.5,INTERLAMINAR_SHEAR,59.2,0.9,187,2.06,8.24,3.5,PASS,-
PNL-DVT-006,SP-006-A,LOT-PRG-056,2026-05-13,OP-1201,ETW,61.2,INTERLAMINAR_SHEAR,59.5,0.8,188,2.05,8.20,5.2,PASS,-
PNL-DVT-006,SP-006-B,LOT-PRG-056,2026-05-13,OP-1202,ETW,57.5,INTERLAMINAR_SHEAR,58.8,1.0,186,2.08,8.32,5.2,PASS,-
PNL-DVT-006,SP-006-C,LOT-PRG-056,2026-05-13,OP-1201,ETW,59.0,INTERLAMINAR_SHEAR,59.0,0.9,187,2.06,8.24,5.2,PASS,-
PNL-DVT-006,SP-006-D,LOT-PRG-056,2026-05-13,OP-1202,ETW,54.5,INTERLAMINAR_SHEAR,58.2,1.2,185,2.10,8.40,5.2,FAIL,ETW_ILSS_LOW
PNL-DVT-006,SP-006-E,LOT-PRG-056,2026-05-13,OP-1201,ETW,62.8,INTERLAMINAR_SHEAR,60.2,0.7,190,2.03,8.12,5.2,PASS,-
PNL-DVT-007,SP-007-A,LOT-PRG-055,2026-04-10,OP-1202,RTD,89.0,INTERLAMINAR_SHEAR,59.0,0.9,187,2.06,8.24,4.0,PASS,-
