antenna_id,timestamp,station_id,operator_id,vswr_26ghz,vswr_27ghz,vswr_28ghz,vswr_29ghz,vswr_30ghz,return_loss_center_db,gain_dbi,beamwidth_deg,isolation_db,result
ANT-5G-04829,2026-04-10T10:56:29+08:00,VNA-STA-01,RF-OP-01,1.4,1.29,1.25,1.24,1.48,-16.7,6.4,74.7,25.5,PASS
ANT-5G-04830,2026-04-10T11:01:56+08:00,VNA-STA-01,RF-OP-02,1.54,1.03,1.17,1.04,1.53,-20.5,5.9,75.5,22.4,PASS
ANT-5G-04831,2026-04-10T11:04:17+08:00,VNA-STA-01,RF-OP-01,1.35,1.16,1.16,1.34,1.59,-13.2,4.5,73.3,24.6,FAIL
ANT-5G-04832,2026-04-10T11:08:39+08:00,VNA-STA-02,RF-OP-03,1.62,1.34,1.29,1.33,1.46,-15.7,6.2,73.6,26.1,PASS
ANT-5G-04833,2026-04-10T11:12:01+08:00,VNA-STA-01,RF-OP-01,1.51,1.14,1.14,1.25,1.43,-14.5,5.9,68.7,25.1,PASS
ANT-5G-04834,2026-04-10T11:16:05+08:00,VNA-STA-01,RF-OP-02,1.26,1.1,1.19,1.39,1.72,-15.7,6.4,75.5,22.9,PASS
ANT-5G-04835,2026-04-10T11:21:05+08:00,VNA-STA-01,RF-OP-02,1.52,1.19,1.16,1.31,1.61,-21.1,6.0,82.5,20.6,PASS
ANT-5G-04836,2026-04-10T11:24:32+08:00,VNA-STA-01,RF-OP-02,1.22,1.17,1.12,1.42,1.38,-17.9,6.0,75.0,20.7,PASS
ANT-5G-04837,2026-04-10T11:28:03+08:00,VNA-STA-01,RF-OP-03,1.5,1.45,1.15,1.35,1.61,-12.3,6.6,80.1,26.8,PASS
ANT-5G-04838,2026-04-10T11:33:55+08:00,VNA-STA-02,RF-OP-03,1.68,1.25,1.22,1.33,1.15,-19.6,6.9,67.7,23.4,PASS
ANT-5G-04839,2026-04-10T11:37:32+08:00,VNA-STA-01,RF-OP-02,1.42,1.26,1.28,1.4,1.45,-14.2,6.0,73.2,22.1,PASS
