block_id,timestamp,cmm_id,operator_id,cyl1_bore_mm,cyl2_bore_mm,cyl3_bore_mm,cyl4_bore_mm,cyl1_roundness_mm,deck_flatness_mm,main_brg_bore_mm,main_brg_coax_mm,bolt_hole_tp_mm,result
EB-AL4-20260410-0080,2026-04-10T12:04:24+08:00,CMM-HEXAGON-01,QC-CMM-03,82.004,82.002,82.009,81.999,0.002,0.01,55.004,0.009,0.09,PASS
EB-AL4-20260410-0081,2026-04-10T12:15:33+08:00,CMM-HEXAGON-01,QC-CMM-03,81.996,82.001,81.999,82.0,0.003,0.027,55.0,0.011,0.11,PASS
EB-AL4-20260410-0082,2026-04-10T12:24:11+08:00,CMM-ZEISS-01,QC-CMM-03,82.004,82.0,82.005,82.0,0.003,0.019,55.002,0.013,0.06,PASS
EB-AL4-20260410-0083,2026-04-10T12:39:40+08:00,CMM-HEXAGON-01,QC-CMM-01,82.006,81.997,82.006,81.998,0.003,0.02,55.004,0.011,0.08,PASS
EB-AL4-20260410-0084,2026-04-10T12:48:01+08:00,CMM-ZEISS-01,QC-CMM-01,82.004,81.999,82.009,82.001,0.003,0.011,54.999,0.008,0.11,PASS
EB-AL4-20260410-0085,2026-04-10T13:04:57+08:00,CMM-ZEISS-01,QC-CMM-01,82.004,81.998,82.003,82.001,0.004,0.014,55.001,0.008,0.1,PASS
EB-AL4-20260410-0086,2026-04-10T13:13:26+08:00,CMM-ZEISS-02,QC-CMM-03,82.001,82.002,82.006,81.997,0.003,0.019,54.992,0.019,0.1,PASS
EB-AL4-20260410-0087,2026-04-10T13:27:21+08:00,CMM-HEXAGON-01,QC-CMM-02,81.996,82.005,82.005,81.998,0.004,0.01,55.005,0.014,0.06,PASS
EB-AL4-20260410-0088,2026-04-10T13:38:24+08:00,CMM-ZEISS-02,QC-CMM-02,82.003,82.004,82.001,82.001,0.002,0.012,55.0,0.016,0.11,PASS
EB-AL4-20260410-0089,2026-04-10T13:52:07+08:00,CMM-HEXAGON-01,QC-CMM-03,82.0,82.001,82.001,81.998,0.003,0.026,55.01,0.015,0.06,PASS
